county,sub_county,Disease/ Condition,Number at Risk
Tana River,Bura,Anaplasmosis,5
Taita Taveta,Voi, Fowltyphoid,30
Marsabit,Laisamis,Brucellosis,1
Tana River,Bura,Peste des Petit Ruminants (PPR),82
Tana River,Bura,Helminthiasis,26
Taita Taveta,Voi,Pneumonia,20
Tana River,Bura,Anaplasmosis ,120
Elgeyo/Marakwet,Keiyo South,Brucellosis,8
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),37
Tana River,Bura,Helminthiasis,250
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),39
Taita Taveta,Voi,Heart Water,1
Busia,Teso South,Lumpy Skin Disease (LSD),9
Marsabit,Laisamis,Suspected Brucellosis ,1
Makueni,Kibwezi West,Pneumonia,20
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),47
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),50
Kwale,Kinango,Contagious Caprine Pleuropneumonia (CCPP),13
Makueni,Kaiti,Helminthiasis,0
Busia,Samia,Trypanosomiasis,5
Makueni,Kaiti,None,0
Tana River,Bura,Pneumonia,0
Kwale,Kinango,Foot Rot,2
Bomet,Bomet East,Telangiectasis,0
Bomet,Bomet East,Pneumonia,0
Samburu,Samburu West,Contagious Caprine Pleuropneumonia (CCPP),104
Tana River,Bura,Helminthiasis,0
Samburu,Samburu West,Pneumonia,12
Busia,Teso South,Lumpy Skin Disease (LSD),3
Samburu,Samburu West,Mange ,52
Kajiado,Kajiado Central,Contagious Caprine Pleuropneumonia (CCPP),300
Busia,Teso South,Trypanosomiasis,1
Samburu,Samburu West,Sheep Pox,31
Marsabit,Moyale,Poisoning,15
Samburu,Samburu West,Contagious Caprine Pleuropneumonia (CCPP),42
Tana River,Bura,Pneumonia,0
Marsabit,Moyale,Mange,32
Busia,Butula,Trypanosomiasis,6
Tana River,Bura,Helminthiasis,0
Busia,Butula,Helminthiasis,11
Samburu,Samburu North,Contagious Caprine Pleuropneumonia (CCPP),67
Busia,Butula,Trypanosomiasis,1
Taita Taveta,Voi,Heart Water,0
Makueni,Kibwezi West,Heart Water,3
Taita Taveta,Voi,Helminthiasis,10
Vihiga,Hamisi,East Coast Fever(ECF),0
Samburu,Samburu North,Peste des Petit Ruminants (PPR),81
Busia,Teso South,Ketosis,3
Marsabit,Moyale,Brucellosis,27
Busia,Teso South,African Swine Fever (ASF),4
Siaya,Alego Usonga,Trypanosomiasis,2
Marsabit,Moyale,Brucellosis,35
Makueni,Kibwezi West,Rabies,1
Nakuru,Bahati,Pneumonia,2
Marsabit,Moyale,Brucellosis,15
Makueni,Kibwezi West,Rabies,0
Samburu,Samburu North,Peste des Petit Ruminants (PPR),312
Marsabit,Moyale,Peste des Petit Ruminants (PPR),65
Makueni,Kibwezi West,Ephemeral ,0
Tana River,Bura,Pneumonia,0
Marsabit,Moyale,Poisoning,25
Tana River,Bura,Pneumonia,0
Marsabit,Moyale,Peste des Petit Ruminants (PPR),42
Tana River,Bura,Pneumonia,0
Siaya,Alego Usonga,Heart Water,6
Marsabit,Moyale,Brucellosis,55
Tana River,Bura,Helminthiasis,0
Kakamega,Lurambi,Lumpy Skin Disease (LSD),3
Siaya,Alego Usonga,Anaplasmosis,1
Taita Taveta,Taveta,Lumpy Skin Disease (LSD),3
Bomet,Bomet East,Liver cyrrhosis,0
Tana River,Bura,Tick Infestation ,15
Busia,Teso South,Lumpy Skin Disease (LSD),8
Marsabit,Moyale,Peste des Petit Ruminants (PPR),30
Samburu,Samburu West,Sheep Pox,53
Samburu,Samburu West,Sheep Pox,102
Busia,Butula,Helminthiasis,4
Samburu,Samburu West,Contagious Caprine Pleuropneumonia (CCPP),98
Tana River,Bura,Exophthalmos ,0
Samburu,Samburu West,Helminthiasis,56
Samburu,Samburu East,Skin Abscess ,0
Samburu,Samburu West,Peste des Petit Ruminants (PPR),42
Marsabit,Moyale,Wry neck,15
Marsabit,Moyale,Helminthiasis,14
Elgeyo/Marakwet,Keiyo South,Rabies,23
Busia,Teso South,Anaplasmosis,3
Taita Taveta,Voi,Mange,1
Kakamega,Likuyani,Helminthiasis,1
Busia,Teso South,East Coast Fever(ECF),9
Elgeyo/Marakwet,Keiyo South,East Coast Fever(ECF),5
Tana River,Bura,Helminthiasis,52
Turkana,Turkana West,Contagious Bovine Pleuropneumonia (CBPP),26
Samburu,Samburu North,Peste des Petit Ruminants (PPR),526
Samburu,Samburu North,Contagious Caprine Pleuropneumonia (CCPP),28
Busia,Teso South,Trypanosomiasis,5
Marsabit,Moyale,Trypanosomiasis,39
Vihiga,Emuhaya,Anaplasmosis,2
Bomet,Bomet East,Mange,0
Marsabit,Moyale,Helminthiasis,2
Marsabit,Moyale,Peste des Petit Ruminants (PPR),11
Turkana,Turkana West,Contagious Caprine Pleuropneumonia (CCPP),56
Marsabit,Moyale,Brucellosis,31
Meru,South Imenti,Trichomonas ,5
Mombasa,Likoni,Contagious Caprine Pleuropneumonia (CCPP),10
Nakuru,Naivasha,Salmonellosis ,87
Mombasa,Kisauni,Helminthiasis,65
Marsabit,Laisamis,Hynes Attacked and Killed 1 Bovine /Left 1 Injuries ,2
Kakamega,Lugari,Helminthiasis,3
Tana River,Bura,Blue Tongue,150
Tana River,Bura,Peste des Petit Ruminants (PPR),1500
Marsabit,Laisamis,Helminthiasis,12
Samburu,Samburu West,Peste des Petit Ruminants (PPR),96
Narok,Narok North,None,52
Siaya,Gem,Strangulation,1
Meru,South Imenti,Pneumonia,1
Tana River,Bura,Helminthiasis,50
Tana River,Bura,Hardware,0
Samburu,Samburu West,Helminthiasis,54
Busia,Teso South,Lumpy Skin Disease (LSD),9
Tana River,Bura,Foot and Mouth Disease (FMD),72
Tana River,Bura,Peste des Petit Ruminants (PPR),60
Marsabit,Moyale,Brucellosis,10
Meru,South Imenti,Lumpy Skin Disease (LSD),4
Marsabit,Moyale,Pneumonia,10
Elgeyo/Marakwet,Keiyo South,Blue Tongue ,5
Tana River,Bura,Helminthiasis ,9
Marsabit,Moyale,Pneumonia,12
Marsabit,Moyale,orf,9
Marsabit,Moyale,Pneumonia ,1
Marsabit,Moyale,Animal bites,10
Tana River,Bura,Brucellosis,12
Marsabit,Moyale,Helminthiasis,10
Tana River,Bura,Helminthiasis,12
Marsabit,Moyale,Heart Water,12
Tana River,Bura,Animal bites,1
Marsabit,Moyale,Brucellosis,9
Tana River,Bura,Mange,2
Marsabit,Moyale,Animal bites,12
Tana River,Bura,Pneumonia,9
Tana River,Bura,Trypanosomiasis,9
Marsabit,Moyale,Animal bites,9
Siaya,Alego Usonga,Heart Water,2
Marsabit,Moyale,Pneumonia,23
Siaya,Alego Usonga,Helminthiasis,1
Tana River,Bura,Helminthiasis,9
Samburu,Samburu West,Contagious Caprine Pleuropneumonia (CCPP),78
Kakamega,Malava,Anaplasmosis,4
Tana River,Bura,orf,12
Kilifi,Malindi,Heart Water,10
Samburu,Samburu West,Mange ,66
Makueni,Kibwezi West,Allergies ,0
Busia,Teso North,Foot and Mouth Disease (FMD),24
Kilifi,Malindi,Trypanosomiasis,15
Marsabit,Moyale,Brucellosis,19
Busia,Matayos,Cutaneous Myiasis,9
Elgeyo/Marakwet,Keiyo South,Tetanus,8
Tana River,Bura,Mange,99
Narok,Narok South,None,238
Tana River,Bura,Peste des Petit Ruminants (PPR),0
Marsabit,Moyale,Brucellosis,12
Kwale,Kinango,Helminthiasis,1
Marsabit,Moyale,Peste des Petit Ruminants (PPR),38
Kwale,Kinango,Pneumonia,24
Busia,Matayos,Trypanosomiasis,3
Kwale,Kinango,Helminthiasis,2
Bungoma,Bumula,Anaplasmosis,3
Kwale,Kinango,Contagious Caprine Pleuropneumonia (CCPP),2
Busia,Teso South,Lumpy Skin Disease (LSD),144
Marsabit,Moyale,Animal bites,26
Tana River,Bura,Pneumonia,1
Kwale,Kinango,Black Quarter,6
Kwale,Kinango,Contagious Caprine Pleuropneumonia (CCPP),0
Uasin Gishu,Moiben,Helminthiasis,25
Kwale,Kinango,Helminthiasis,3
Tana River,Galole,Helminthiasis,0
Kwale,Kinango,Contagious Caprine Pleuropneumonia (CCPP),3
Tana River,Bura,Pneumonia,0
Kwale,Kinango,Helminthiasis,21
Kwale,Kinango,Heart Water,5
Tana River,Bura,Helminthiasis,0
Tana River,Bura,Lumpy Skin Disease (LSD),7
Marsabit,Moyale,Brucellosis,55
Marsabit,Moyale,Brucellosis,20
Tana River,Bura,Pneumonia,0
Tana River,Bura,Pneumonia,0
Samburu,Samburu East,Trauma,0
Tana River,Bura,Pneumonia,0
Marsabit,Moyale,Brucellosis,150
Tana River,Bura,Helminthiasis,0
Samburu,Samburu East,Helminthiasis,16
Vihiga,Sabatia,Helminthiasis,0
Marsabit,Moyale,Brucellosis,30
Makueni,Kibwezi West,Rabies,15
Marsabit,Moyale,Peste des Petit Ruminants (PPR),65
Vihiga,Sabatia,Mange,0
Samburu,Samburu East,Pneumonia,0
Makueni,Kibwezi West,Helminthiasis,0
Samburu,Samburu East,Verminous Pneumonia ,16
Marsabit,Moyale,Brucellosis,72
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),250
Marsabit,Moyale,Brucellosis,34
Mombasa,Kisauni,Helminthiasis,11
Kakamega,Malava,Helminthiasis,3
Tana River,Bura,Lumpy Skin Disease (LSD),14
Samburu,Samburu North,Foot and Mouth Disease (FMD),31
Tana River,Bura,Animal bites,23
Busia,Butula,East Coast Fever(ECF),3
Samburu,Samburu West,Peste des Petit Ruminants (PPR),103
Samburu,Samburu North,Peste des Petit Ruminants (PPR),52
Samburu,Samburu North,Chronic Mange Infestation ,52
Samburu,Samburu North,Peste des Petit Ruminants (PPR),13
Tana River,Bura,Peste des Petit Ruminants (PPR),53
Turkana,Turkana West,Lumpy Skin Disease (LSD),56
Baringo,Mogotio,Blue Tongue ,312
Vihiga,Hamisi,Anthrax,3
Tana River,Bura,Peste des Petit Ruminants (PPR),51
Baringo,Mogotio,Lumpy Skin Disease (LSD),691
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),70
Samburu,Samburu West,Contagious Caprine Pleuropneumonia (CCPP),52
Siaya,Alego Usonga,Helminthiasis,2
Tana River,Bura,Sheep Enterotoximea,21
Samburu,Samburu North,Peste des Petit Ruminants (PPR),25
Busia,Teso South,Trypanosomiasis,5
Narok,Narok South,Foot and Mouth Disease (FMD),51
Elgeyo/Marakwet,Marakwet East,East Coast Fever(ECF),2
Elgeyo/Marakwet,Marakwet East,Pneumonia,5
Tana River,Bura,Foot Rot,85
Bomet,Bomet East,Fibrosis,0
Tana River,Bura,Black Quarter,30
Taita Taveta,Voi,Diarrhoea ,2
Busia,Teso South,Anaplasmosis,4
Marsabit,Laisamis,Trypanosomiasis,1
Bomet,Bomet East,Pneumonia,0
Marsabit,Moyale,Peste des Petit Ruminants (PPR),21
Vihiga,Emuhaya,Pneumonia,2
Busia,Teso South,Mastitis,2
Narok,Narok South,East Coast Fever(ECF),63
Marsabit,Moyale,Newcastle Disease (NCD),30
Bomet,Bomet East,Helminthiasis,0
Kakamega,Malava,Mastitis,2
Elgeyo/Marakwet,Keiyo North,East Coast Fever(ECF),8
Kakamega,Shinyalu,Black Quarter,1
Elgeyo/Marakwet,Marakwet West,Brucellosis,12
Busia,Samia,Helminthiasis,10
Tharaka-Nithi,Maara,Mastitis ,4
Samburu,Samburu West,Peste des Petit Ruminants (PPR),96
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),173
Samburu,Samburu West,Peste des Petit Ruminants (PPR),84
Tharaka-Nithi,Chuka/Igambang'Ombe,Mastitis ,5
Uasin Gishu,Turbo,Mange,1
Samburu,Samburu West,Bluetongue ,89
Tharaka-Nithi,Chuka/Igambang'Ombe,East Coast Fever(ECF),10
Tharaka-Nithi,Chuka/Igambang'Ombe,Mastitis ,10
Taita Taveta,Voi,Anaplasmosis,1
Kakamega,Malava,Salmonellosis ,0
Tana River,Bura,Lumpy Skin Disease (LSD),23
Samburu,Samburu West,Contagious Caprine Pleuropneumonia (CCPP),96
Samburu,Samburu West,Foot and Mouth Disease (FMD),53
Marsabit,Moyale,Helminthiasis,13
Marsabit,Moyale,Brucellosis,60
Baringo,Mogotio,Lumpy Skin Disease (LSD),650
Marsabit,Laisamis,Rift Valley Fever (RVF),27
Busia,Teso South,Trypanosomiasis,6
Marsabit,Moyale,Pneumonia,80
Marsabit,Laisamis,Rift Valley Fever (RVF),15
Tana River,Bura,Helminthiasis,21
Marsabit,North Horr,Brucellosis,20
Marsabit,Laisamis,Rift Valley Fever (RVF),12
Vihiga,Emuhaya,Mange,9
Vihiga,Luanda,Helminthiasis,1
Kakamega,Butere,East Coast Fever(ECF),0
Narok,Narok South,Foot and Mouth Disease (FMD),61
Kakamega,Likuyani,Pneumonia,3
Marsabit,North Horr,Rift Valley Fever (RVF),25
Marsabit,Moyale,Brucellosis,25
Marsabit,Moyale,Brucellosis,52
Marsabit,Moyale,Brucellosis,106
Marsabit,Moyale,Mastitis,216
Tana River,Bura,Enterotoxaemia,20
Kakamega,Lugari,Foot and Mouth Disease (FMD),3
Marsabit,Laisamis,Brucellosis,55
Bungoma,Webuye East,East Coast Fever(ECF),4
Tana River,Bura,Pneumonia,10
Siaya,Alego Usonga,East Coast Fever(ECF),6
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),60
Tana River,Bura,Peste des Petit Ruminants (PPR),276
Kisumu,Kisumu East,Lumpy Skin Disease (LSD),1
Elgeyo/Marakwet,Marakwet West,Mastitis ,1
Vihiga,Sabatia,Newcastle Disease (NCD),120
Bungoma,Webuye West,Helminthiasis,3
Baringo,Baringo South,Goat Pox,77
Kisumu,Kisumu Central,Parvovirus,3
Kakamega,Butere,East Coast Fever(ECF),1
Taita Taveta,Taveta,Mange,12
Nyandarua,Kinangop,Lumpy Skin Disease (LSD),30
Taita Taveta,Voi,East Coast Fever(ECF),1
Vihiga,Sabatia,East Coast Fever(ECF),6
Marsabit,Moyale,Mange,15
Marsabit,Moyale,Brucellosis,20
Marsabit,Moyale,Brucellosis,32
Marsabit,Moyale,Poisoning,32
Marsabit,Moyale,Brucellosis,12
Marsabit,Moyale,Brucellosis,22
Marsabit,Moyale,Brucellosis,19
Marsabit,Moyale,Brucellosis,61
Tana River,Bura,Peste des Petit Ruminants (PPR),79
Marsabit,Moyale,Brucellosis,38
Marsabit,Moyale,Brucellosis,19
Busia,Teso South,Pustular Dermatitis,4
Tana River,Bura,Brucellosis,9
Marsabit,Moyale,Brucellosis,34
Samburu,Samburu East,Contagious Caprine Pleuropneumonia (CCPP),176
Marsabit,Moyale,Brucellosis,25
Tana River,Bura,Peste des Petit Ruminants (PPR),122
Marsabit,Moyale,Heart Water,12
Marsabit,Moyale,orf,12
Marsabit,Laisamis,Peste des Petit Ruminants (PPR),36
Tana River,Bura,orf,9
Taita Taveta,Voi,East Coast Fever(ECF),2
Tana River,Bura,Helminthiasis,12
Busia,Matayos,Lumpy Skin Disease (LSD),17
Marsabit,North Horr,Mange,15
Tana River,Bura,Pneumonia,12
Marsabit,North Horr,Peste des Petit Ruminants (PPR),25
Marsabit,North Horr,Haemorrhagic septicemia,51
Siaya,Alego Usonga,Heart Water,2
Siaya,Gem,Foot and Mouth Disease (FMD),17
Bomet,Bomet East,Pneumonia,0
Tana River,Bura,Mange,30
Marsabit,Moyale,Pneumonia,20
Marsabit,Moyale,Pneumonia,23
Tana River,Bura,Peste des Petit Ruminants (PPR),257
Tana River,Bura,Brucellosis,8
Tana River,Bura,Peste des Petit Ruminants (PPR),283
Vihiga,Emuhaya,Pneumonia,1
Tana River,Bura,Peste des Petit Ruminants (PPR),31
Busia,Nambale,Heart Water,2
Marsabit,North Horr,Animal bites,15
Tana River,Bura,Lumpy Skin Disease (LSD),10
Marsabit,North Horr,Diarrhoea,10
Samburu,Samburu West,Foot and Mouth Disease (FMD),15
Makueni,Kibwezi West,Pneumonia,1
Bomet,Bomet East,Helminthiasis,0
Taita Taveta,Voi,Anaplasmosis,2
Marsabit,North Horr,Pneumonia,12
Makueni,Kibwezi East,Helminthiasis,5
Makueni,Kibwezi West,Congestion ,0
Taita Taveta,Voi,Contagious Caprine Pleuropneumonia (CCPP),37
Siaya,Gem,0,6
Elgeyo/Marakwet,Keiyo South,Anaplasmosis,5
Tana River,Bura,Goat Pox,354
Marsabit,North Horr,Abortion,50
Baringo,Baringo South,Sheep Pox,1258
Marsabit,Moyale,Brucellosis,27
Marsabit,Moyale,Malaria,84
Marsabit,Moyale,Brucellosis,45
Marsabit,Moyale,Trypanosomiasis,28
Tana River,Bura,Foot and Mouth Disease (FMD),5
Busia,Teso North,Trypanosomiasis,4
Marsabit,Moyale,Brucellosis,31
Busia,Teso North,Helminthiasis,4
Bungoma,Mt. Elgon,Foot and Mouth Disease (FMD),26
Marsabit,Moyale,Trypanosomiasis,20
Kakamega,Likuyani,East Coast Fever(ECF),2
Marsabit,North Horr,Helminthiasis,50
Makueni,Kaiti,Helminthiasis,0
Marsabit,Moyale,Pheumonia,173
Kakamega,Malava,Anthrax,2
Marsabit,Moyale,Trypanosomiasis,37
Taita Taveta,Voi,Anaplasmosis,0
Marsabit,North Horr,Mange,19
Marsabit,Moyale,Brucellosis,65
Makueni,Kibwezi East,Anaplasmosis,7
Bungoma,Webuye East,Mange,4
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),250
Samburu,Samburu West,Sheep Pox,70
Makueni,Kibwezi East,Pneumonia,23
Busia,Teso South,Foot and Mouth Disease (FMD),5
Bomet,Bomet East,Helminthiasis,0
Busia,Matayos,East Coast Fever(ECF),1
Marsabit,Moyale,Brucellosis,46
Marsabit,Moyale,Brucellosis,42
Bomet,Bomet East,Mange,0
Kakamega,Malava,Black Quarter,1
Nyandarua,Ol Jorok,Lumpy Skin Disease (LSD),2
Marsabit,Moyale,Malaria,39
Narok,Narok South,Foot and Mouth Disease (FMD),63
Tana River,Bura,Lumpy Skin Disease (LSD),615
Marsabit,North Horr,Peste des Petit Ruminants (PPR),200
Busia,Butula,Trypanosomiasis,7
Marsabit,North Horr,Diarhroea,20
Kakamega,Likuyani,Helminthiasis,1
Marsabit,North Horr,Rift Valley Fever (RVF),50
Marsabit,Moyale,Mange,36
Marsabit,North Horr,Brucellosis,25
Kakamega,Likuyani,Helminthiasis,3
Samburu,Samburu West,East Coast Fever(ECF),12
Marsabit,Moyale,Brucellosis,23
Marsabit,Moyale,Brucellosis,153
Tana River,Bura,Trypanosomiasis,161
Marsabit,Moyale,Pneumonia ,1
Kitui,Kitui West,Foot and Mouth Disease (FMD),20
Marsabit,Moyale, Mange,17
Tana River,Bura,Camel Pox,97
Samburu,Samburu North,Pneumonia,65
Marsabit,Laisamis,Peste des Petit Ruminants (PPR),23
Marsabit,Moyale,Brucellosis,19
Tana River,Bura,Foot and Mouth Disease (FMD),4
Turkana,Turkana West,Contagious Caprine Pleuropneumonia (CCPP),120
Turkana,Turkana West,Contagious Caprine Pleuropneumonia (CCPP),72
Marsabit,Moyale,Pneumonia ,1
Marsabit,Moyale,Newcastle Disease (NCD),40
Marsabit,Moyale,Wooden Tongue,20
Marsabit,Moyale,Brucellosis,45
Tana River,Bura,Pneumonia,51
Bomet,Bomet East,Anthrax,0
Tana River,Bura,Pneumonia,42
Marsabit,Moyale,Brucellosis,14
Marsabit,Moyale,Brucellosis,17
Busia,Teso South,Poisoning,0
Tharaka-Nithi,Maara,Pneumonia,10
Tana River,Bura,Pneumonia,67
Samburu,Samburu North,Camel Pox,54
Tana River,Bura,Pneumonia,38
Tana River,Bura,Pneumonia,49
Busia,Bunyala,Non,15
Tana River,Bura,Pneumonia,52
Tana River,Bura,Pneumonia,65
Tana River,Bura,Pneumonia,38
Tana River,Bura,Pneumonia,58
Tana River,Bura,Pneumonia,45
Tana River,Bura,Pneumonia,73
Tana River,Bura,Pneumonia,56
Tana River,Bura,Pneumonia,39
Tana River,Bura,Pneumonia,61
Tana River,Bura,Pneumonia,65
Tana River,Bura,Pneumonia,39
Tana River,Bura,Pneumonia,48
Tana River,Bura,Pneumonia,52
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),38
Marsabit,Moyale,Brucellosis,68
Marsabit,Moyale,Malaria,57
Marsabit,Moyale,0,43
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),153
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),59
Tana River,Bura,Pneumonia,48
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),157
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),139
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),76
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),129
Tana River,Bura,Pneumonia,55
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),49
Marsabit,Moyale,Pneumonia,15
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),68
Samburu,Samburu East,Suspected RVF,16
Samburu,Samburu East,Suspected RVF,112
Marsabit,Moyale,Peste des Petit Ruminants (PPR),20
Samburu,Samburu East,Retained Afterbirth ,0
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),43
Marsabit,Laisamis,Rift Valley Fever (RVF),25
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),58
Samburu,Samburu East,Contagious Ecthyma,26
Marsabit,Moyale,Pneumonia,26
Samburu,Samburu East,Fracture Of The Mandible,0
Samburu,Samburu East,Knee Bruises,0
Marsabit,Moyale,Goat Pox,50
Samburu,Samburu East,Skin Wounds,0
Samburu,Samburu East,Verminous Pneumonia ,25
Marsabit,Moyale,Brucellosis,49
Samburu,Samburu East,Camel Cough,77
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),143
Samburu,Samburu East,Bloat And Constipation ,0
Nakuru,Nakuru Town East,Anaplasmosis,2
Busia,Teso South,Lumpy Skin Disease (LSD),4
Makueni,Makueni,Pneumonia,3
Samburu,Samburu East,Helminthiasis,35
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),156
Taita Taveta,Taveta,Trypanosomiasis,5
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),134
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),149
Tana River,Bura,Helminthiasis,273
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),138
Marsabit,Moyale,Helminthiasis,0
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),147
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),135
Narok,Narok South,Animal bites,6
Marsabit,Moyale,Helminthiasis,0
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),164
Marsabit,Moyale,Helminthiasis,0
Samburu,Samburu East,Helminthiasis,20
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),153
Marsabit,Moyale,Helminthiasis,0
Tana River,Bura,Pneumonia,52
Marsabit,Moyale,Helminthiasis,0
Samburu,Samburu East,Helminthiasis,8
Siaya,Gem,Emaciation,2
Vihiga,Vihiga,Pneumonia,3
Kitui,Kitui South,Anaplasmosis,12
Tana River,Bura,Pneumonia,47
Kitui,Kitui South,Animal bites,34
Samburu,Samburu East,Footrot,41
Samburu,Samburu East,Helminthiasis,43
Tana River,Bura,Pneumonia,53
Samburu,Samburu East,Helminthiasis,0
Tana River,Bura,Pneumonia,62
Samburu,Samburu East,  Orf,31
Tana River,Bura,Pneumonia,67
Tana River,Bura,Pneumonia,48
Nyeri,Nyeri Town,Lumpy Skin Disease (LSD),3
Tana River,Bura,Pneumonia,53
Vihiga,Luanda,Black Quarter,25
Tana River,Bura,Pneumonia,65
Tana River,Bura,Pneumonia,69
Tana River,Bura,Pneumonia,51
Tana River,Bura,Pneumonia,64
Tana River,Bura,Pneumonia,53
Tana River,Bura,Pneumonia,58
Tana River,Bura,Pneumonia,63
Tana River,Bura,Pneumonia,69
Taita Taveta,Wundanyi,Abortion ,1
Tana River,Bura,Pneumonia,49
Tana River,Bura,Pneumonia,59
Tana River,Bura,Pneumonia,59
Tana River,Bura,Pneumonia,61
Taita Taveta,Mwatate,East Coast Fever(ECF),0
Tana River,Bura,Pneumonia,59
Busia,Teso South,Mastitis,3
Elgeyo/Marakwet,Marakwet West,0,14
Taita Taveta,Mwatate,Pneumonia,0
Taita Taveta,Mwatate,Trypanosomiasis,2
Taita Taveta,Voi,Trypanosomiasis,0
Taita Taveta,Wundanyi,Retained Afterbirth ,0
Vihiga,Vihiga,Foot and Mouth Disease (FMD),7
Makueni,Kaiti,Pneumonia,0
Kakamega,Malava,Black Quarter,0
Taita Taveta,Mwatate,East Coast Fever(ECF),0
Taita Taveta,Taveta,Trypanosomiasis,20
Marsabit,Moyale,Helminthiasis,56
Taita Taveta,Mwatate,Pneumonia,0
Taita Taveta,Taveta,Trypanosomiasis,15
Marsabit,Moyale,Peste des Petit Ruminants (PPR),56
Taita Taveta,Mwatate,Retained Afterbirth ,0
Taita Taveta,Taveta,Helminthiasis,20
Tana River,Bura,Helminthiasis,8
Marsabit,Laisamis,Rift Valley Fever (RVF),37
Busia,Butula,Trypanosomiasis,3
Samburu,Samburu West,Sprain,15
Busia,Butula,Trypanosomiasis,2
Busia,Butula,Heart Water,6
Marsabit,Laisamis,Contagious Bovine Pleuropneumonia (CBPP),32
Taita Taveta,Taveta,Helminthiasis,5
Marsabit,Laisamis,Brucellosis,21
Busia,Butula,East Coast Fever(ECF),1
Baringo,Baringo North,Goat Pox,3500
Marsabit,Laisamis,Rift Valley Fever (RVF),19
Baringo,Baringo North,Sheep Pox,315
Marsabit,Laisamis,Haemorrhagic septicemia,20
Vihiga,Luanda,Helminthiasis,7
Marsabit,Laisamis,Contagious Bovine Pleuropneumonia (CBPP),39
Marsabit,Moyale,Ephemeral Fever,15
Marsabit,Laisamis,Rift Valley Fever (RVF),83
Kakamega,Lugari,Mange,2
Kakamega,Lugari,Foot and Mouth Disease (FMD),0
Vihiga,Hamisi,Lumpy Skin Disease (LSD),10
Kwale,Kinango,Helminthiasis,25
Kisumu,Seme,Nsd,2
Kwale,Kinango,Trypanosomiasis,8
Busia,Teso South,Trypanosomiasis,6
Busia,Matayos,Lumpy Skin Disease (LSD),9
Taita Taveta,Voi,Mastitis,1
Busia,Matayos,Black Quarter,9
Busia,Matayos,Traumatic Injury ,1
Busia,Bunyala,Pneumonia,6
Taita Taveta,Voi,Trypanosomiasis,0
Vihiga,Hamisi,Helminthiasis,5
Busia,Teso South,Trypanosomiasis,16
Busia,Matayos,Trypanosomiasis,1
Busia,Teso South,Trypanosomiasis,16
Vihiga,Sabatia,Helminthiasis ,0
Marsabit,Laisamis,Contagious Caprine Pleuropneumonia (CCPP),138
Marsabit,North Horr,Rift Valley Fever (RVF),16
Vihiga,Sabatia,Pneumonia,1
Busia,Teso South,Trypanosomiasis,6
Marsabit,North Horr,Rift Valley Fever (RVF),5
Busia,Teso South,Anaestrus ,1
Nairobi,Kasarani,Rabies,2
Marsabit,North Horr,Rift Valley Fever (RVF),12
Marsabit,Saku,Organophosphate,0
Siaya,Alego Usonga,Parvovirus,2
Marsabit,Laisamis,Brucellosis,51
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),67
Marsabit,Saku,Blue Tongue,2
Vihiga,Vihiga,Retained Placenta,0
Marsabit,Moyale,Brucellosis,48
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),153
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),134
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),123
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),51
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),103
Tana River,Bura,Contagious Caprine Pleuropneumonia (CCPP),139
