county,Disease/ Condition,Number at Risk
Busia,Pneumonia,62
Busia,Pneumonia,62
Busia,Helminthiasis,18
Busia,Brucellosis,3
Busia,Coeneurosis,6
Busia,Lumpy Skin Disease (LSD),2
Busia,Trypanosomiasis,12
Busia,Animal bites,33
Busia,Coccidosis,6
Busia,Fowl Typoid,33
Busia,Brucellosis,16
Busia,Brucellosis,42
Busia,East Coast Fever(ECF),300
Busia,Helminthiasis,17
Busia,Brucellosis,120
Busia,Trypanosomiasis,3
Busia,Helminthiasis,0
Busia,Trauma ,0
Busia,Trypanosomiasis,36
Busia,Trypanosomiasis,13
Busia,Black Quarter,8
Busia,Anaplasmosis,2
Busia,East Coast Fever(ECF),0
Busia,Helminthiasis,4
Busia,Anaplasmosis,1
Busia,Brucellosis,35
Busia,East Coast Fever(ECF),1
Busia,Warble ,1
Busia,Calf Scours ,8
Busia,Leptospirosis ,30
Busia,Brucellosis,6
Busia,Trypanosomiasis,2
Busia,Bottle Jow,50
Busia,Helminthiasis,2
Busia,Anaplasmosis,20
Marsabit,Brucellosis,65
Elgeyo/Marakwet,Heart Water,6
Elgeyo/Marakwet,Helminthiasis,1
Elgeyo/Marakwet,Helminthiasis,0
Elgeyo/Marakwet,Pneumonia,8
Elgeyo/Marakwet,Heart Water,8
Elgeyo/Marakwet,Pneumonia,6
Elgeyo/Marakwet,Johnes Disease,2
Elgeyo/Marakwet,East Coast Fever(ECF),3
Elgeyo/Marakwet,East Coast Fever(ECF),2
Elgeyo/Marakwet,Diarrhoea,40
Elgeyo/Marakwet,Bloat,21
Elgeyo/Marakwet,Distocia,2
Elgeyo/Marakwet,Anaplasmosis,3
Elgeyo/Marakwet,Foetal Mumification,1
Elgeyo/Marakwet,Babesia Bovis,12
Elgeyo/Marakwet,Haemorrhagic septicemia,200
Elgeyo/Marakwet,Animal bites,24
Elgeyo/Marakwet,Helminthiasis,1
Elgeyo/Marakwet,Foot and Mouth Disease (FMD),8
Elgeyo/Marakwet,Absess,3
Elgeyo/Marakwet,East Coast Fever(ECF),1
Elgeyo/Marakwet,Anaplasmosis,11
Elgeyo/Marakwet,Fowl Pox,90
Elgeyo/Marakwet,Cirrhosis,0
Elgeyo/Marakwet,East Coast Fever(ECF),9
Elgeyo/Marakwet,Brucellosis,1
Elgeyo/Marakwet,Plant Poison,1
Elgeyo/Marakwet,Heart Water,5
Elgeyo/Marakwet,Helminthiasis,2
Elgeyo/Marakwet,Animal Bite,5
Elgeyo/Marakwet,East Coast Fever(ECF),3
Elgeyo/Marakwet,Anaplasmosis,30
Elgeyo/Marakwet,TVT,4
Garissa,Contagious Caprine Pleuropneumonia (CCPP),6
Garissa,Lumpy Skin Disease (LSD),6
Garissa,East Coast Fever(ECF),63
Garissa,Helminthiasis,0
Garissa,Iron Defficiency,9
Garissa,Infectious Bursai Disease (Gumboro),431
Garissa,Pneumonia,2
Garissa,Contagious Caprine Pleuropneumonia (CCPP),80
Garissa,East Coast Fever(ECF),3
Garissa,Arthritis ,19
Marsabit,Poisoning,56
Garissa,East Coast Fever(ECF),2
Kajiado,Rabies,3
Kajiado,Lumpy Skin Disease (LSD),19
Kajiado,Helminthiasis,0
Kajiado,Brucellosis,12
Kakamega,Myocarditis ,0
Marsabit,Camel Pox,52
Turkana,Mange,28
Kakamega,Helminthiasis,0
Kakamega,Contagious Caprine Pleuropneumonia (CCPP),21
Kakamega,Brucellosis,11
Kakamega,Goat Pox,1285
Kakamega,Black Quarter,2
Kakamega,Contagious Caprine Pleuropneumonia (CCPP),23
Kakamega,Helminthiasis,21
Kakamega,Anthrax,5
Makueni,Contagious Caprine Pleuropneumonia (CCPP),0
Kakamega,East Coast Fever(ECF),0
Kakamega,Helminthiasis,0
Kakamega,Pink Eye ,20
Kakamega,Anaplasmosis,12
Kakamega,Black Quarter,3
Kakamega,Brucellosis,5
Kakamega,Trypanosomiasis,52
Kakamega,Lumpy Skin Disease (LSD),1
Kakamega,Trypanosomiasis,42
Kakamega,Contagious Caprine Pleuropneumonia (CCPP),76
Kakamega,Pneumonia,1
Kakamega,Brucellosis,5
Kakamega,East Coast Fever(ECF),5
Kakamega,Helminthiasis,2
Kakamega,Trypanosomiasis,40
Kakamega,Brucellosis,62
Elgeyo/Marakwet,Brucellosis,10
Kakamega,Rabies,5
Kakamega,Rabies,2000
Kakamega,Contagious Caprine Pleuropneumonia (CCPP),43
Kakamega,East Coast Fever(ECF),5
Kakamega,East Coast Fever(ECF),0
Kakamega,Brucellosis,6
Kakamega,Foot And Rot,2
Kakamega,injury ,60
Kakamega,Haemorrhagic septicemia,16
Kakamega,Brucellosis,13
Kakamega,H.S,67
Kakamega,East Coast Fever(ECF),2
Kakamega,Dytocia,15
Kakamega,East Coast Fever(ECF),2
Kakamega,East Coast Fever(ECF),2
Kakamega,Injury,4
Kakamega,East Coast Fever(ECF),0
Kakamega,Milk Fever,1
Kakamega,Black Quarter,1
Kakamega,Rabies,9
Kakamega,Pneumonia,8
Baringo,Foot and Mouth Disease (FMD),19
Kakamega,Brucellosis,40
Kakamega,Parasite Infestation ,2
Kakamega,Pneumonia,17
Kakamega,Anaplasmosis,2
Kakamega,Brucellosis,5
Kakamega,Brucellosis,55
Kakamega,Abscess ,25
Kakamega,Rabies,50
Kakamega,Trypanosomiasis,73
Marsabit,caseous Lymphad,11
Kakamega,East Coast Fever(ECF),7
Kakamega,Trypanosomiasis,62
Marsabit,Trypanosomiasis,15
Kakamega,Trypanosomiasis,23
Marsabit,orf,19
Marsabit,Haemorrhagic septicemia,15
Kakamega,Pneumonia,40
Marsabit,Heart Water,19
Marsabit,Pneumonia,19
Marsabit,Haemorrhagic Septicemia ,19
Marsabit,Animal bites,19
Kakamega,Pneumonia,14
Marsabit,Brucellosis,19
Marsabit,Brucellosis,10
Kakamega,Animal bites,12
Kakamega,Brucellosis,11
Kakamega,Trypanosomiasis,1
Marsabit,Brucellosis,14
Kakamega,Helminthiasis,19
Kakamega,Pneumonia,12
Kakamega,Rabies,2
Kakamega,0,5
Kakamega,Rabies,2
Kakamega,Trypanosomiasis,2
Kakamega,Clinical Mastits,5
Kakamega,Caseous Lymphad ,14
Kakamega,Helminthiasis,1
Kericho,Anaplasmosis,1
Kericho,Anaplasmosis,3
Kirinyaga,Anaplasmosis,3
Kirinyaga,Helminthiasis,14
Kisumu,East Coast Fever(ECF),2
Marsabit,Haemorrhagic septicemia,11
Kisumu,East Coast Fever(ECF),1
Kisumu,Helminthiasis,0
Kisumu,Helminthiasis,0
Kisumu,Helminthiasis,6
Kitui,Abscess,0
Kitui,Helminthiasis,0
Kitui,Helminthiasis,0
Kitui,Helminthiasis,0
Kitui,Anaplasmosis,5
Kwale,Helminthiasis,0
Laikipia,Brucellosis,90
Machakos,Pneumonia ,2
Makueni,Brucellosis,62
Makueni,Brucellosis,56
Makueni,Helminthiasis,0
Makueni,Rabies,1
Makueni,Brucellosis,5
Makueni,Dystocia,0
Makueni,Brucellosis,107
Taita Taveta,Trypanosomiasis,580
Makueni,Anaplasmosis,3
Makueni,Babesiosis ,45
Makueni,Brucellosis,188
Makueni,East Coast Fever(ECF),45
Makueni,Animal bites,5
Taita Taveta,Trypanosomiasis,450
Makueni,Arthritis ,16
Makueni,Anaplasmosis,15
Makueni,Brucellosis,23
Makueni,Orf,25
Makueni,Orf Disease Was Diagnosed ,800
Makueni,Trypanosomiasis,36
Makueni,Peste des Petit Ruminants (PPR),42
Makueni,Heart Water,254
Makueni,Orf,80
Makueni,Eclampsia ,0
Makueni,Helminthiasis,23
Makueni,Anaplasmosis,3
Makueni,Brucellosis,15
Makueni,East Coast Fever(ECF),3
Makueni,Brucellosis,40
Makueni,0,10
Makueni,Pneumonia,8
Makueni,Brucellosis,34
Makueni,Trypanosomiasis,42
Makueni,Pneumonia,1
Makueni,Foot and Mouth Disease (FMD),24
Makueni,Lumpy Skin Disease (LSD),6
Makueni,Collibacillosis,4
Marsabit,Foot and Mouth Disease (FMD),35
Makueni,Pneumonia,1
Makueni,East Coast Fever(ECF),4
Makueni,Goat Pox,312
Makueni,Poisoning,68
Makueni,Rabies,5
Makueni,Footrot,5
Makueni,Anaplasmosis,1
Makueni,East Coast Fever(ECF),5
Makueni,Haemorrhagic septicemia,29
Makueni,Helminthiasis,0
Makueni,Anaplasmosis,4
Makueni,Lumpy Skin Disease (LSD),7
Makueni,Brucellosis,21
Makueni,Helminthiasis,0
Makueni,Helminthiasis,1
Makueni,Helminthiasis,0
Makueni,Pneumonia,0
Makueni,Helminthiasis,5
Taita Taveta,Trypanosomiasis,5
Makueni,Black Quarter,3
Makueni,Poisoning,13
Makueni,Helminthiasis,0
Makueni,Poisoning,6
Makueni,Helminthiasis,3
Taita Taveta,Anaplasmosis,17
Makueni,East Coast Fever(ECF),4
Makueni,Foot and Mouth Disease (FMD),40
Makueni,Bluetongue ,24
Makueni,Brucellosis,40
Makueni,Babesiosis ,2
Makueni,Helminthiasis,1
Makueni,Wryneck ,13
Marsabit,Rabies,3
Marsabit,Fowl Pox,200
Marsabit,Lumpy Skin Disease (LSD),155
Garissa,Foot and Mouth Disease (FMD),78
Marsabit,Bovine papillomatosis ,7
Marsabit,No,103
Marsabit,Arthritis ,19
Marsabit,Trypanosomiasis,0
Marsabit,Camel Pox,5
Marsabit,Heart Water,2
Marsabit,Helminthiasis,3
Marsabit,0,130
Marsabit,Myasis,0
Marsabit,Dystocia,0
Marsabit,Lumpy Skin Disease (LSD),2
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),2
Marsabit,Rift Valley Fever (RVF),10
Marsabit,Mastitis ,2
Marsabit,Metritis,0
Marsabit,Retained Placenta ,1
Marsabit,Helminthiasis,8
Marsabit,Lumpy Skin Disease (LSD),8
Marsabit,Foot and Mouth Disease (FMD),100
Marsabit,Trypanosomiasis,6
Marsabit,Helminthiasis,58
Marsabit,Helminthiasis,0
Marsabit,Wound ,3
Marsabit,East Coast Fever(ECF),2
Marsabit,None,0
Marsabit,Helminthiasis,0
Marsabit,Poisoning,78
Marsabit,Lumpy Skin Disease (LSD),200
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),246
Marsabit,Helminthiasis,4
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),125
Marsabit,East Coast Fever(ECF),1
Marsabit,Lumpy Skin Disease (LSD),3
Marsabit,Foot and Mouth Disease (FMD),200
Marsabit,Lumpy Skin Disease (LSD),1
Marsabit,Enterotoxaemia,3
Marsabit,Lumpy Skin Disease (LSD),2
Marsabit,Brucellosis,32
Marsabit,Brucellosis,29
Marsabit,Helminthiasis,3
Marsabit,Contagious Bovine Pleuropneumonia (CBPP),5
Marsabit,Brucellosis,22
Marsabit,Contagious Bovine Pleuropneumonia (CBPP),6
Marsabit,Trypanosomiasis,7
Marsabit,Brucellosis,39
Marsabit,Acds,9
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),51
Marsabit,Brucellosis,33
Marsabit,Brucellosis,73
Samburu,Flea Allergy Dermatitis,0
Marsabit,Heart Water,19
Marsabit,Brucellosis,63
Marsabit,ORF,28
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),13
Marsabit,Brucellosis,27
Marsabit,Abscess,0
Marsabit,Fructure,7
Marsabit,Fracture Of Tibia And Fibula,0
Marsabit,Brucellosis,42
Marsabit,Lumpy Skin Disease (LSD),3
Marsabit,Skin Abscess ,0
Marsabit,Trypanosomiasis,13
Marsabit,Peste des Petit Ruminants (PPR),129
Marsabit,Ephemeral Fever ,4
Marsabit,Haemorrhagic septicemia,47
Marsabit,Coccidiosis,2
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),786
Marsabit,Contagious Ecthyma,0
Garissa,Contagious Caprine Pleuropneumonia (CCPP),500
Taita Taveta,Anaplasmosis,3
Marsabit,Trypanosomiasis,3
Marsabit,Colic,1
Marsabit,Helminthiasis,0
Marsabit,Ectoparasite Infestation ,0
Marsabit,Animal bites,0
Marsabit,Brucellosis,37
Marsabit,Mastitis,8
Marsabit,Pg,0
Marsabit,Acute Camel Death Syndrome ,25
Marsabit,Helminthiasis,5
Marsabit,Helminthiasis,6
Marsabit,Pneumonia,39
Samburu,Helminthiasis,41
Taita Taveta,Trypanosomiasis,3
Marsabit,Cutenous Myiasis,0
Taita Taveta,Helminthiasis,5
Garissa,Brucellosis,46
Marsabit,Mastitis,2
Marsabit,Trypanosomiasis,7
Marsabit,Taeniosis,1
Marsabit,Goat Pox,89
Marsabit,Rabies,0
Marsabit,Foot and Mouth Disease (FMD),3
Marsabit,Sheep Pox,51
Marsabit,Eye Infection,8
Marsabit,Helminthiasis,48
Marsabit,Pneumonia,14
Marsabit,Not Confirmed Yet,60
Marsabit,0,50
Marsabit,Trypanosomiasis,3
Marsabit,Rabies,2
Taita Taveta,Babesiosis ,8
Marsabit,Upper respiratory infections,2
Marsabit,Brucellosis,3
Marsabit,Septic Wounds,5
Marsabit,East Coast Fever(ECF),0
Marsabit,Lumpy Skin Disease (LSD),3
Marsabit,0,15
Marsabit,Foot Rot,3
Marsabit,East Coast Fever(ECF),3
Marsabit,East Coast Fever(ECF),0
Marsabit,Cut Wound ,0
Marsabit,Helminthiasis,5
Marsabit,Epmiral Fever ,5
Marsabit,Black Quarter,4
Marsabit,Pneumonia,3
Marsabit,Anaplasmosis ,7
Marsabit,Trypanosomiasis,3
Marsabit,East Coast Fever(ECF),0
Marsabit,Enterotoxaemia,80
Marsabit,Sores Around The Gums,2
Marsabit,East Coast Fever(ECF),1
Marsabit,Helminthiasis,9
Marsabit,Animal bites,14
Marsabit,East Coast Fever(ECF),7
Marsabit,Helminthiasis,12
Marsabit,orf,9
Marsabit,Trypanosomiasis,11
Marsabit,Caseous Lymphad,19
Marsabit,Heart Water,12
Marsabit,Animal bites,10
Marsabit,Brucellosis,19
Marsabit,Heart Water,19
Marsabit,Brucellosis,10
Marsabit,Helminthiasis,14
Marsabit,Heart Water,14
Marsabit,Trypanosomiasis,6
Marsabit,Brucellosis,14
Marsabit,Helminthiasis,46
Marsabit,Retained Afterbirth,0
Marsabit,Animal bites,0
Marsabit,Brucellosis,68
Marsabit,Helminthiasis ,6
Marsabit,Pink Eye,16
Marsabit,Pneumonia,10
Marsabit,Helminthiasis,58
Marsabit,Trypanosomiasis,28
Marsabit,Brucellosis,42
Marsabit,Newcastle Disease (NCD),39
Marsabit,Pneumonia,0
Marsabit,Helminthiasis,0
Marsabit,N/A,41
Marsabit,Poisoning,10
Marsabit,Brucellosis,5
Baringo,Lumpy Skin Disease (LSD),71
Marsabit,Contagious Bovine Pleuropneumonia (CBPP),5
Marsabit,Brucellosis,83
Marsabit,Trypanosomiasis,5
Marsabit,Helminthiasis,0
Marsabit,Helminthiasis,0
Marsabit,Salmonellosis ,4
Marsabit,Pneumonia,42
Marsabit,Brucellosis,5
Marsabit,East Coast Fever(ECF),2
Marsabit,Coccidosis,51
Marsabit,Lumpy Skin Disease (LSD),90
Marsabit,Helminthiasis,3
Marsabit,Sheep Pox,502
Marsabit,Helminthiasis,15
Marsabit,Animal bites,12
Baringo,Lumpy Skin Disease (LSD),35
Marsabit,Abscess,1
Marsabit,East Coast Fever(ECF),3
Marsabit,Pneumonia,5
Taita Taveta,Trypanosomiasis,1
Taita Taveta, Acute Trypanosomiasis,10
Marsabit,Pneumonia,3
Marsabit,Trypanosomiasis,1
Taita Taveta,Pneumonia,101
Marsabit,Diarrhoea,1
Marsabit,East Coast Fever(ECF),1
Marsabit,East Coast Fever(ECF),1
Marsabit,Coccidosis,15
Marsabit,East Coast Fever(ECF),2
Marsabit,Trypanosomiasis,6
Marsabit,Pinkeye,1
Marsabit,Calf Scours ,3
Marsabit,Pneumonia,1
Marsabit,Contagious Ecthyma,25
Marsabit,Ketosis/Hypocalcaemia,7
Marsabit,Coenurosis,0
Marsabit,Trypanosomiasis,1
Marsabit,Trypanosomiasis,11
Marsabit,Black Quarter,17
Marsabit,Brucellosis,0
Marsabit,Peste des Petit Ruminants (PPR),34
Marsabit,Pneumonia,22
Marsabit,Hynes Attacked ,2
Marsabit,Mastitis ,3
Marsabit,Foot Rot,4
Marsabit,Heart Water,10
Marsabit,Plant Poisoning,8
Marsabit,Helminthiasis,0
Marsabit,Pneumonia,6
Marsabit,Brucellosis,2
Marsabit,Brucellosis,40
Marsabit,Trypanosomiasis,45
Marsabit,Footrot,108
Marsabit,Rift Valley Fever (RVF),67
Marsabit,Helminthiasis,2
Marsabit,Rift Valley Fever (RVF),60
Marsabit,Helminthiasis,30
Marsabit,Haemorrhagic septicemia,1
Marsabit,Helminthiasis,1
Marsabit,Helminthiasis,40
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),7
Marsabit,Pneumonia,30
Marsabit,Helminthiasis,100
Marsabit,Animal bites,1
Marsabit,Pink Eye,6
Marsabit,Trypanosomiasis,3
Baringo,Sheep Pox,482
Marsabit,Brucellosis,15
Marsabit,Sheep Pox,41
Marsabit,Skin Abscess ,0
Marsabit,Brucellosis,46
Marsabit,Rabies,185
Marsabit,Mastitis,3
Marsabit,Goat Pox,86
Marsabit,Brucellosis,47
Marsabit,Brucellosis,38
Marsabit,Helminthiasis,13
Marsabit,Trypanosomiasis,12
Marsabit,Contagious Ecthyma,50
Marsabit,East Coast Fever(ECF),70
Marsabit,Peste des Petit Ruminants (PPR),43
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),64
Marsabit,Anaplasmosis,1
Marsabit,Pneumonia,12
Marsabit,Late Abortion,15
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),56
Marsabit,Helminthiasis,0
Marsabit,Rabies,70
Marsabit,Brucellosis,23
Marsabit,Injury ,0
Marsabit,Pneumonia,3
Marsabit,Lumpy Skin Disease (LSD),13
Marsabit,Animal bites,46
Marsabit,0,10
Marsabit,East Coast Fever(ECF),3
Marsabit,Helminthiasis,0
Marsabit,Pneumonia,42
Marsabit,Helminthiasis,0
Marsabit,East Coast Fever(ECF),2
Marsabit,Ruminal Tympany,2
Taita Taveta,Heart Water,6
Marsabit,Anaplasmosis,2
Marsabit,Helminthiasis,0
Marsabit,Brucellosis,12
Marsabit,Rabies,100
Marsabit,Trypanosomiasis,3
Marsabit,Rabies,120
Marsabit,East Coast Fever(ECF),1
Marsabit,Footrot,9
Marsabit,Helminthiasis,1
Marsabit,ephemeral fever ,1
Marsabit,Retained Urine,21
Marsabit,Rift Valley Fever (RVF),53
Marsabit,None,0
Marsabit,Listeriosis,10
Marsabit,East Coast Fever(ECF),4
Marsabit,Rabies,16
Marsabit,Foot And Rot,6
Marsabit,Heart Water,33
Marsabit,Helminthiasis,9
Marsabit,East Coast Fever(ECF),5
Marsabit,Helminthiasis,3
Marsabit,Helminthiasis,46
Marsabit,Helminthiasis,1
Marsabit,Trypanosomiasis,29
Marsabit,Pneumonia,28
Marsabit,Helminthiasis,67
Marsabit,Rift Valley Fever (RVF),41
Marsabit,Peste des Petit Ruminants (PPR),108
Marsabit,Anaplasmosis,3
Marsabit,Rift Valley Fever (RVF),52
Marsabit,Rift Valley Fever (RVF),113
Marsabit,Acute Camel Disease,36
Marsabit,Helminthiasis,125
Marsabit,Trypanosomiasis,30
Marsabit,East Coast Fever(ECF),1
Marsabit,Pneumonia,54
Marsabit,Salmonellosis ,1
Marsabit,Helminthiasis,47
Marsabit,Dermatitis ,3
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),15
Marsabit,Pneumonia,31
Marsabit,Rabies,2
Marsabit,Haemorrhagic septicemia,25
Marsabit,Pneumonia,15
Marsabit,Pneumonia,2
Marsabit,Pneumonia,66
Marsabit,0,4
Marsabit,Heart Water,3
Marsabit,Anaplasmosis,12
Marsabit,Helminthiasis,22
Marsabit,Pneumonia,3
Marsabit,Anaplasmosis,3
Marsabit,Foot and Mouth Disease (FMD),5
Marsabit,East Coast Fever(ECF),2
Marsabit,Helminthiasis,0
Marsabit,Helminthiasis,3
Marsabit,Helminthiasis,0
Marsabit,Helminthiasis,1
Marsabit,Pneumonia,6
Marsabit,Anaplasmosis,2
Marsabit,East Coast Fever(ECF),3
Marsabit,Helminthiasis,0
Marsabit,Helminthiasis,0
Marsabit,Subclinical Mastitis,1
Marsabit,Brucellosis,2
Marsabit,Helminthiasis,7
Marsabit,Subclinical Mastitis ,1
Marsabit,blue tongue ,122
Marsabit,Milk Fever,0
Marsabit,Helminthiasis,1
Marsabit,Enterotoxaemia,3
Marsabit,Mange,3
Marsabit,0,1
Marsabit,Helminthiasis,4
Marsabit, Salmonellosis,3
Marsabit,Lumpy Skin Disease (LSD),111
Marsabit,Enteritis,2
Marsabit,Anaplasmosis,1
Marsabit,Diarrhoea,70
Marsabit,Blue Tongue Disease,259
Marsabit,East Coast Fever(ECF),6
Marsabit,Helminthiasis,30
Marsabit,Canine Distemper (CD),70
Marsabit,Helminthiasis,5
Marsabit,Anaplasmosis,0
Marsabit,Helminthiasis,1
Marsabit,East Coast Fever(ECF),2
Marsabit,Helminthiasis,18
Marsabit,Diarrhoea,20
Marsabit,Pneumonia,20
Marsabit,Contagious Caprine Pleuropneumonia (CCPP),42
Marsabit,East Coast Fever(ECF),5
Marsabit,East Coast Fever(ECF),80
Marsabit,Black Quarter,2
Marsabit,Pneumonia,0
Marsabit,East Coast Fever(ECF),16
Marsabit,Mange,2
Marsabit,Black Quarter,2
Marsabit,Peste des Petit Ruminants (PPR),0
Marsabit,Coccidosis,0
Marsabit,Trypanosomiasis,5
Marsabit,Infectious Bursai Disease (Gumboro),0
Marsabit,Brucellosis,37
Samburu,Skin Abscess ,0
Marsabit,Contagious Ecthyma,6
Marsabit,Black Quarter,0
Marsabit,East Coast Fever(ECF),0
Marsabit,East Coast Fever(ECF),2
Marsabit,Haemorrhagic septicemia,7
Marsabit,Helminthiasis,1
Marsabit,Brucellosis,50
Marsabit,East Coast Fever(ECF),3
Marsabit,East Coast Fever(ECF),5
Marsabit,Lumpy Skin Disease (LSD),5
Marsabit,Parvovirus,2
Marsabit,Trypanosomiasis,5
Marsabit,Anaplasmosis,3
Marsabit,Abscess ,0
Marsabit,Parvovirus,0
Marsabit,Contagious Abortion ,3
Marsabit,blue tongue ,133
Marsabit,Canine Distemper (CD),0
Marsabit,Pneumonia,1
